(240, 240)
(80, 164, 32, 40)
(45, 31, 32, 45)
(60, 51, 32, 46)
(85, 21, 32, 47)
(225, 135, 32, 49)
(31, 206, 32, 50)
(253, 133, 32, 53)
(167, 7, 32, 55)
(51, 152, 32, 57)
(90, 121, 32, 61)
(43, 140, 32, 62)
(56, 92, 33, 40)
(134, 113, 33, 45)
(69, 153, 33, 46)
(11, 41, 33, 50)
(157, 213, 33, 56)
(52, 76, 33, 57)
(241, 253, 33, 58)
(39, 214, 33, 59)
(154, 114, 34, 40)
(216, 18, 34, 48)
(179, 135, 34, 51)
(164, 44, 34, 55)
(148, 106, 34, 63)
(39, 224, 35, 48)
(165, 200, 35, 51)
(123, 32, 35, 54)
(126, 240, 35, 56)
(252, 231, 35, 57)
(18, 65, 35, 59)
(153, 194, 35, 60)
(84, 251, 35, 62)
(171, 148, 35, 63)
(42, 116, 36, 49)
(240, 53, 36, 51)
(152, 250, 36, 52)
(20, 22, 36, 53)
(110, 57, 36, 54)
(161, 17, 36, 56)
(70, 125, 36, 60)
(150, 95, 37, 46)
(152, 72, 37, 47)
(188, 101, 37, 49)
(29, 7, 37, 54)
(90, 203, 37, 57)
(134, 69, 37, 58)
(21, 107, 37, 59)
(214, 6, 37, 60)
(186, 229, 37, 61)
(111, 247, 38, 46)
(182, 145, 38, 47)
(121, 36, 38, 48)
(18, 91, 38, 49)
(25, 252, 38, 50)
(189, 159, 38, 51)
(133, 8, 38, 52)
(209, 124, 38, 53)
(128, 194, 38, 54)
(8, 98, 38, 55)
(214, 104, 38, 56)
(61, 254, 38, 57)
(217, 212, 38, 58)
(66, 108, 38, 59)
(49, 174, 38, 60)
(94, 120, 38, 61)
(194, 101, 38, 62)
(36, 131, 38, 63)
(42, 114, 39, 46)
(182, 15, 39, 47)
(163, 177, 39, 48)
(16, 61, 39, 49)
(12, 162, 39, 50)
(185, 48, 39, 51)
(149, 232, 39, 52)
(46, 54, 39, 53)
(231, 222, 39, 54)
(145, 79, 39, 55)
(130, 222, 39, 56)
(17, 208, 39, 57)
(128, 111, 39, 58)
(220, 189, 39, 59)
(193, 237, 39, 60)
(90, 242, 39, 61)
(149, 50, 39, 62)
(162, 240, 39, 63)
(190, 229, 40, 40)
(241, 40, 40, 42)
(209, 30, 40, 44)
(193, 39, 40, 46)
(246, 19, 40, 47)
(25, 18, 40, 48)
(232, 61, 40, 49)
(161, 239, 40, 50)
(162, 126, 40, 51)
(97, 197, 40, 52)
(117, 150, 40, 53)
(67, 166, 40, 54)
(220, 125, 40, 55)
(192, 114, 40, 56)
(141, 109, 40, 57)
(142, 34, 40, 58)
(14, 73, 40, 59)
(172, 52, 40, 60)
(87, 253, 40, 61)
(221, 250, 40, 62)
(136, 125, 40, 63)
(99, 240, 40, 64)
(6, 24, 40, 66)
(113, 67, 40, 67)
(185, 8, 40, 69)
(36, 93, 40, 70)
(88, 40, 40, 72)
(185, 97, 40, 73)
(78, 82, 40, 74)
(65, 136, 40, 77)
(43, 155, 40, 78)
(46, 96, 40, 104)
(165, 123, 40, 107)
(152, 14, 40, 108)
(193, 167, 40, 112)
(121, 157, 40, 114)
(2, 230, 40, 115)
(32, 118, 40, 116)
(108, 99, 40, 119)
(38, 131, 40, 120)
(185, 154, 40, 121)
(69, 61, 40, 122)
(189, 88, 40, 125)
(237, 124, 40, 127)
(74, 58, 40, 131)
(51, 59, 40, 133)
(99, 54, 40, 135)
(88, 32, 41, 42)
(62, 132, 41, 44)
(118, 10, 41, 45)
(235, 102, 41, 46)
(137, 251, 41, 47)
(29, 255, 41, 48)
(87, 107, 41, 49)
(121, 34, 41, 50)
(184, 219, 41, 51)
(187, 109, 41, 52)
(148, 103, 41, 53)
(170, 115, 41, 54)
(96, 253, 41, 55)
(225, 30, 41, 56)
(137, 134, 41, 57)
(244, 224, 41, 58)
(154, 232, 41, 59)
(171, 245, 41, 60)
(200, 48, 41, 61)
(123, 116, 41, 62)
(119, 212, 41, 63)
(61, 230, 41, 65)
(29, 149, 41, 71)
(209, 25, 41, 75)
(123, 225, 41, 76)
(24, 131, 41, 79)
(11, 184, 41, 105)
(242, 189, 41, 106)
(145, 149, 41, 110)
(37, 30, 41, 111)
(157, 167, 41, 119)
(157, 173, 41, 122)
(116, 235, 41, 124)
(207, 139, 41, 125)
(210, 50, 41, 126)
(158, 208, 41, 127)
(91, 37, 41, 128)
(2, 99, 41, 129)
(161, 9, 41, 130)
(158, 7, 41, 131)
(70, 228, 41, 133)
(143, 129, 42, 41)
(45, 153, 42, 43)
(50, 150, 42, 45)
(139, 71, 42, 46)
(39, 199, 42, 47)
(118, 143, 42, 48)
(141, 94, 42, 49)
(148, 34, 42, 50)
(21, 33, 42, 51)
(158, 38, 42, 52)
(158, 146, 42, 53)
(179, 101, 42, 54)
(37, 167, 42, 55)
(107, 221, 42, 56)
(237, 158, 42, 57)
(226, 25, 42, 58)
(16, 29, 42, 59)
(239, 22, 42, 60)
(234, 248, 42, 61)
(101, 243, 42, 62)
(159, 30, 42, 63)
(148, 4, 42, 64)
(56, 159, 42, 65)
(76, 98, 42, 67)
(106, 194, 42, 68)
(64, 185, 42, 72)
(194, 49, 42, 73)
(29, 236, 42, 75)
(78, 147, 42, 79)
(28, 202, 42, 107)
(23, 41, 42, 108)
(152, 182, 42, 111)
(163, 158, 42, 115)
(161, 57, 42, 116)
(254, 41, 42, 117)
(177, 232, 42, 118)
(99, 212, 42, 119)
(142, 142, 42, 120)
(111, 159, 42, 121)
(10, 46, 42, 122)
(110, 83, 42, 123)
(71, 178, 42, 124)
(231, 171, 42, 125)
(120, 19, 42, 126)
(82, 2, 42, 127)
(136, 178, 42, 128)
(159, 33, 42, 129)
(114, 0, 42, 130)
(195, 205, 42, 131)
(67, 196, 42, 133)
(64, 216, 42, 134)
